Date,Open,High,Low,Close,Volume
2013-01-01,30.4959090909091,30.9090909090909,30.1652727272727,30.1652727272727,286825
2013-01-02,30.0826363636364,30.2479090909091,29.5868181818182,29.5868181818182,403975
2013-01-03,29.7520909090909,29.9173636363636,29.2561818181818,29.5040909090909,368500
2013-01-06,29.1735454545455,29.6694545454545,28.9256363636364,29.0082727272727,339625
2013-01-07,29.0082727272727,29.0082727272727,28.0991818181818,28.1818181818182,329725
2013-01-08,28.595,28.843,28.0991818181818,28.2644545454545,469975
2013-01-09,28.5123636363636,28.6777272727273,27.8512727272727,27.9339090909091,386375
2013-01-10,28.0165454545455,28.843,27.9339090909091,28.595,437250
2013-01-13,28.9256363636364,30.2479090909091,28.7603636363636,29.7520909090909,1070300
2013-01-14,29.8347272727273,30.0826363636364,29.3388181818182,29.3388181818182,379225
2013-01-15,29.5040909090909,29.5040909090909,28.9256363636364,29.0082727272727,342650
2013-01-16,29.0082727272727,29.0082727272727,28.5123636363636,28.595,520300
2013-01-17,28.6777272727273,29.3388181818182,28.6777272727273,28.843,482350
2013-01-20,28.7603636363636,29.3388181818182,28.5123636363636,28.5123636363636,166650
2013-01-21,28.7603636363636,28.7603636363636,28.3470909090909,28.4297272727273,279675
2013-01-22,28.1818181818182,28.6777272727273,28.1818181818182,28.3470909090909,328350
2013-01-23,28.5123636363636,29.0082727272727,28.3470909090909,28.595,424050
2013-01-24,28.9256363636364,29.4214545454545,28.7603636363636,29.0909090909091,562650
2013-01-27,29.2561818181818,29.3388181818182,28.4297272727273,28.5123636363636,510675
2013-01-28,28.3470909090909,28.3470909090909,27.8512727272727,27.9339090909091,573375
2013-01-29,28.0165454545455,28.843,27.8512727272727,28.5123636363636,715825
2013-01-30,28.843,29.0909090909091,26.281,27.6859090909091,1266650
2013-02-03,27.2727272727273,27.8512727272727,26.8595454545455,27.438,1331275
2013-02-04,27.8512727272727,27.9339090909091,26.8595454545455,27.0248181818182,655325
2013-02-05,27.1074545454545,27.2727272727273,26.6115454545455,26.7768181818182,495275
2013-02-06,27.2727272727273,27.438,26.7768181818182,26.7768181818182,539550
2013-02-07,26.9421818181818,26.9421818181818,26.4462727272727,26.4462727272727,496925
2013-02-10,26.9421818181818,28.7603636363636,26.7768181818182,28.4297272727273,1171500
2013-02-11,29.0082727272727,30.9917272727273,28.9256363636364,30.2479090909091,2130425
2013-02-12,30.5785454545455,30.5785454545455,29.0082727272727,29.0909090909091,1012550
2013-02-13,28.9256363636364,31.0743636363636,28.843,30.4959090909091,1484175
2013-02-14,31.0743636363636,32.9751818181818,31.0743636363636,32.6446363636364,2455750
2013-02-17,32.8099090909091,33.0578181818182,31.5702727272727,31.7355454545455,1329350
2013-02-18,31.5702727272727,32.3967272727273,30.8264545454545,31.157,1269950
2013-02-19,33.8016363636364,33.8016363636364,30.1652727272727,30.4131818181818,1082675
2013-02-20,30.8264545454545,31.3222727272727,29.2561818181818,29.5868181818182,906675
2013-02-24,29.5040909090909,30.3305454545455,27.9339090909091,28.2644545454545,740300
2013-02-25,28.7603636363636,29.3388181818182,27.6859090909091,27.7686363636364,678975
2013-02-26,28.4297272727273,29.5040909090909,27.8512727272727,29.0082727272727,629200
2013-02-27,29.3388181818182,29.5868181818182,27.9339090909091,28.0991818181818,845075
2013-02-28,27.7686363636364,28.7603636363636,27.6859090909091,28.2644545454545,376200
2013-03-03,27.6859090909091,27.6859090909091,25.5371818181818,25.7024545454545,498025
2013-03-04,25.0413636363636,27.2727272727273,25.0413636363636,26.9421818181818,461450
2013-03-05,27.2727272727273,27.2727272727273,25.8677272727273,26.1157272727273,517275
2013-03-06,26.5289090909091,26.5289090909091,25.6198181818182,25.8677272727273,354200
2013-03-07,26.0330909090909,26.0330909090909,24.7107272727273,25.2066363636364,385825
2013-03-10,24.9586363636364,26.0330909090909,24.3801818181818,24.4628181818182,493075
2013-03-11,24.7933636363636,24.7933636363636,23.0578181818182,23.5537272727273,637175
2013-03-12,22.3967272727273,23.8016363636364,22.3967272727273,23.3058181818182,364100
2013-03-13,22.562,24.7933636363636,22.562,24.2149090909091,580800
2013-03-14,24.3801818181818,25.124,23.8842727272727,24.0495454545455,653675
2013-03-18,23.6363636363636,24.2975454545455,23.4710909090909,24.0495454545455,358875
2013-03-19,23.8016363636364,24.5454545454545,23.719,24.1322727272727,419375
2013-03-20,23.8842727272727,24.4628181818182,23.5537272727273,23.5537272727273,272525
2013-03-24,23.2231818181818,23.8016363636364,22.4793636363636,22.562,382250
2013-03-25,22.8925454545455,22.9751818181818,21.8181818181818,21.9834545454545,405075
2013-03-27,20.8264545454545,22.0660909090909,20.4959090909091,20.6611818181818,466675
2013-03-28,20.7438181818182,21.4876363636364,20.6611818181818,21.3222727272727,419375
2013-03-31,21.4876363636364,21.4876363636364,20.6611818181818,20.7438181818182,313775
2013-04-01,20.0,20.2479090909091,18.9256363636364,19.0082727272727,498300
2013-04-02,19.4214545454545,19.8347272727273,19.0082727272727,19.6694545454545,356950
2013-04-03,20.1652727272727,20.4959090909091,19.9173636363636,20.0,347600
2013-04-04,20.0826363636364,20.0826363636364,19.3388181818182,19.5868181818182,342925
2013-04-07,19.5868181818182,19.8347272727273,19.5868181818182,19.6694545454545,311850
2013-04-08,19.0909090909091,20.1652727272727,19.0909090909091,20.0,373175
2013-04-09,19.5040909090909,21.9834545454545,19.5040909090909,21.9834545454545,954800
2013-04-10,23.4710909090909,24.1322727272727,23.3884545454545,23.6363636363636,1740200
2013-04-11,23.4710909090909,25.9504545454545,23.2231818181818,25.9504545454545,2310275
2013-04-15,26.4462727272727,28.3470909090909,26.1983636363636,27.0248181818182,1677500
2013-04-16,26.1157272727273,27.5206363636364,25.2066363636364,25.2892727272727,1751200
2013-04-17,25.2066363636364,27.438,24.3801818181818,27.1900909090909,2442275
2013-04-18,27.6859090909091,29.2561818181818,27.1900909090909,27.6032727272727,2127125
2013-04-21,27.9339090909091,27.9339090909091,26.8595454545455,26.9421818181818,1511675
2013-04-22,26.0330909090909,27.0248181818182,25.7850909090909,26.1157272727273,985875
